kode,display,nama_pemeriksaan,kategori,permintaan_hasil,sumber
83311-1,Bone density quantitative measurement by DXA panel,Bone mineral densitometry (BMD),Radiologi,Permintaan,bag1/Example LOINC Terminology (User
24966-4,DXA Lumbar spine [Mass/Area] Bone density,Bone mineral densitometry (BMD) vertebra lumbal (g/cm2),Radiologi,Hasil,bag1/Example LOINC Terminology (User
38267-1,DXA Lumbar spine [T-score] Bone density,Bone mineral densitometry (BMD) vertebra lumbal (T-score),Radiologi,Hasil,bag1/Example LOINC Terminology (User
85394-5,DXA Lumbar spine [Z-score] Bone density,Bone mineral densitometry (BMD) vertebra lumbal (Z-score),Radiologi,Hasil,bag1/Example LOINC Terminology (User
63520-1,PhenX - body composition by dual-energy x-ray absorptiometry protocol 020301,Bone mineral densitometry (BMD) total body composition WO kontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
83014-1,DXA Skeletal system.axial Views for bone density and vertebral fracture,Bone mineral densitometry (BMD) tulang aksial dan fraktur vertebra,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
83012-5,DXA Skeletal system.axial Views for bone density,Bone mineral densitometry (BMD) tulang axial,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
83013-3,DXA Skeletal system.peripheral Views for bone density,Bone mineral densitometry (BMD) tulang periferal,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
24890-6,DXA Radius and Ulna [Mass/Area] Bone density,Bone mineral densitometry (BMD) forearm (g/cm2),Radiologi,Hasil,bag1/Example LOINC Terminology (User
38265-5,DXA Radius and Ulna [T-score] Bone density,Bone mineral densitometry (BMD) forearm (T-score),Radiologi,Hasil,bag1/Example LOINC Terminology (User
80932-7,DXA Radius and Ulna [Z-score] Bone density,Bone mineral densitometry (BMD) forearm (Z-score),Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
80952-5,DXA Radius and Ulna - left [Mass/Area] Bone density,Bone mineral densitometry (BMD) forearm kiri (g/cm2),Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
80944-2,DXA Radius and Ulna - left [T-score] Bone density,Bone mineral densitometry (BMD) forearm kiri (T-score),Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
80936-8,DXA Radius and Ulna - left [Z-score] Bone density,Bone mineral densitometry (BMD) forearm kiri (Z-score),Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
80951-7,DXA Radius and Ulna - right [Mass/Area] Bone density,Bone mineral densitometry (BMD) forearm kanan (g/cm2),Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
80943-4,DXA Radius and Ulna - right [T-score] Bone density,Bone mineral densitometry (BMD) forearm kanan (T-score),Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
80935-0,DXA Radius and Ulna - right [Z-score] Bone density,Bone mineral densitometry (BMD) forearm kanan (Z-score),Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
38261-4,DXA Hip [Mass/Area] Bone density,Bone mineral densitometry (BMD) hip (g/cm2),Radiologi,Hasil,bag1/Example LOINC Terminology (User
38264-8,DXA Hip [T-score] Bone density,Bone mineral densitometry (BMD) hip (T-score),Radiologi,Hasil,bag1/Example LOINC Terminology (User
80933-5,DXA Hip [Z-score] Bone density,Bone mineral densitometry (BMD) hip (Z-score),Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
46279-6,DXA Hip - right [Mass/Area] Bone density,Bone mineral densitometry (BMD) hip kanan (g/cm2),Radiologi,Hasil,bag1/Example LOINC Terminology (User
80945-9,DXA Hip - right [T-score] Bone density,Bone mineral densitometry (BMD) hip kanan (T-score),Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
80937-6,DXA Hip - right [Z-score] Bone density,Bone mineral densitometry (BMD) hip kanan (Z-score),Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
