rad_id,rad_desc,aktif,kode_lama,display_lama,kode_baru,display_baru_resmi,nama_indonesia,keyakinan
111,,1,,,,,,administratif
R41,ANKLE JOINT D,1,36619-5,XR Ankle,26387-1,XR Ankle - right 2 Views,XR ankle dua proyeksi kanan,pasti
R67,ANKLE JOINT S,1,36619-5,XR Ankle,26386-3,XR Ankle - left 2 Views,XR ankle dua proyeksi kiri,pasti
R17,ANTEBRACHII D,1,37048-7,XR Forearm,37708-5,XR Radius and Ulna - right AP and Lateral,XR antebrachi AP dan lateral kanan,pasti
R27,ANTEBRACHII S,1,37048-7,XR Forearm,36700-3,XR Radius and Ulna - left AP and Lateral,XR antebrachi AP dan lateral kiri,pasti
R78,APPENDICOGRAFI 1,1,24626-2,RF Appendix with barium,69242-6,RF Guidance for percutaneous drainage of abscess and placement of drainage catheter of Appendix,Appendicography,perlu-cek
R79,APPENDICOGRAFI 2,1,24626-2,RF Appendix with barium,69242-6,RF Guidance for percutaneous drainage of abscess and placement of drainage catheter of Appendix,Appendicography,perlu-cek
R115,ART. COXAE AP D,1,37181-6,XR Hip AP,26132-1,XR Hip - right Views,XR coxae kanan,pasti
R116,ART. COXAE AP S,1,37181-6,XR Hip AP,26131-3,XR Hip - left Views,XR artc. coxae kiri,pasti
R117,ART. COXAE LAT D,1,37182-4,XR Hip Lateral,37730-9,XR Hip - right Lateral,XR artc. coxae lateral kanan,pasti
R118,ART. COXAE LAT S,1,37182-4,XR Hip Lateral,36603-9,XR Hip - left Lateral,XR artc. coxae lateral kiri,pasti
R119,BABYGRAM,1,36643-5,XR Babygram,83019-0,XR Chest and Abdomen and Pelvis View babygram,XR abdomen dan thorax babygram,pasti
2D,BACAAN MADINAH,0,,,,,,administratif
R83,BARIUM FOLLOW THROUGH,1,24855-7,RF Barium follow through,43574-3,RF Upper gastrointestinal tract and Small bowel Views W barium contrast PO,RF followtrough,pasti
R33,BASIS CRANII,1,36287-1,XR Skull submentovertex,48697-7,XR Skull base Views,XR basis cranium,pasti
R15,BENDING D,1,36589-0,XR Lumbar spine Bending,42429-1,XR Thoracic and lumbar spine AP for scoliosis W standing and W right bending,XR vertebra thoracolumbar bending kanan,pasti
R12,BENDING S,1,36589-0,XR Lumbar spine Bending,44206-1,XR Thoracic and lumbar spine for scoliosis single view,XR thoracolumbal bending kiri,pasti
R24,BNO,1,43462-6,XR Abdomen AP,24799-9,XR Abdomen AP,XR abdomen AP,pasti
2A,BOF,0,,,24799-9,XR Abdomen AP,XR abdomen AP,pasti
R4,BOF,1,43462-6,XR Abdomen AP,24799-9,XR Abdomen AP,XR abdomen AP,pasti
R55,BOF 1/2 DUDUK,1,43462-6,XR Abdomen AP upright,37046-0,XR Abdomen Upright,XR BOF/BNO/KUB erect,pasti
R121,BOF 3 POSISI,1,43462-6,XR Abdomen 3 Views,36293-9,XR Abdomen 3 Views,XR abdomen tiga proyeksi,pasti
R42,CALCANEUS  AP / TG D,1,36639-3,XR Calcaneus,98303-1,XR Calcaneus - right Lateral,XR calcaneus lateral kanan,perlu-cek
R70,CALCANEUS AP / TG S,1,36639-3,XR Calcaneus,98311-4,XR Calcaneus - left Lateral,XR calcaneus lateral kiri,perlu-cek
R1041,CERV. AP / LAT. / OBL. D / OBL. S,1,36657-5,XR Cervical spine AP and Lateral,36331-7,XR Cervical spine 4 Views,XR cervical 4 proyeksi,pasti
R10,CERVICAL AP,1,36657-5,XR Cervical spine AP,30725-6,XR Cervical spine AP,XR cervical AP,pasti
2C,CERVICAL AP LATERAL,0,,,24942-5,XR Cervical spine AP and Lateral,XR cervical AP dan lateral,pasti
R108,CERVICAL LAT.,1,36659-1,XR Cervical spine Lateral,24943-3,XR Cervical spine Lateral,XR cervical lateral,pasti
R11,CERVICAL OBLIQUE D,1,36660-9,XR Cervical spine Oblique,36748-2,XR Cervical spine Oblique Views,XR cervical oblique,perlu-cek
R50,CERVICAL OBLIQUE S,1,36660-9,XR Cervical spine Oblique,36748-2,XR Cervical spine Oblique Views,XR cervical oblique,perlu-cek
R34,CLAVICULA D,1,36695-5,XR Clavicle,97362-8,XR Clavicle - right AP,XR clavicula AP kanan,pasti
R56,CLAVICULA S,1,36695-5,XR Clavicle,97347-9,XR Clavicle - left AP,XR clavicula AP kiri,pasti
R21,COCCYGEUS AP,1,36697-1,XR Coccyx AP,98356-9,XR Coccyx AP,XR coccygeus AP,pasti
R54,COCCYGEUS LATERAL,1,36698-9,XR Coccyx Lateral,98357-7,XR Coccyx Lateral,XR coccygeus lateral,pasti
R71,COLON IN LOOP,1,24745-0,RF Colon Barium enema,44227-7,RF Colon Views W barium contrast PR,RF kolon dengan barium enema,pasti
R81,COLON IN LOOP BAYI,1,24745-0,RF Colon Barium enema,44227-7,RF Colon Views W barium contrast PR,RF kolon dengan barium enema,perlu-cek
R29,CRURIS D,1,37917-3,XR Tibia and Fibula,37816-6,XR Tibia and Fibula - right AP and Lateral,XR cruris AP dan lateral kanan,pasti
R20,CRURIS S,1,37917-3,XR Tibia and Fibula,36718-5,XR Tibia and Fibula - left AP and Lateral,XR cruris AP dan lateral kiri,pasti
2F,CT SCAN,1,,,,,,terlalu-umum
R112,DYNAMIC CERV EXTENSI,1,36657-5,XR Cervical spine Extension,98360-1,XR Cervical spine Single view W extension,XR cervical extensi,pasti
R13,DYNAMIC CERV FLEXI,0,36657-5,XR Cervical spine Flexion,98358-5,XR Cervical spine Single view W flexion,XR cervical flexi,pasti
R114,DYNAMIC LS EXTENSI,1,36589-0,XR Lumbar spine Extension,37132-8,XR Lumbar spine Lateral Views W flexion and W extension,XR vertebra lumbosakral lateral flexi dan extensi,perlu-cek
R113,DYNAMIC LS FLEXI,1,36589-0,XR Lumbar spine Flexion,37132-8,XR Lumbar spine Lateral Views W flexion and W extension,XR vertebra lumbosakral lateral flexi dan extensi,perlu-cek
R36,ELBOW D,1,36856-3,XR Elbow,37684-8,XR Elbow - right AP and Lateral,XR elbow AP dan lateral kanan,pasti
R61,ELBOW S,1,36856-3,XR Elbow,36691-4,XR Elbow - left AP and Lateral,XR elbow AP dan lateral kiri,pasti
R28,FEMUR D,1,37026-3,XR Femur,37692-1,XR Femur - right AP and Lateral,XR femur AP dan lateral kanan,pasti
R49,FEMUR S,1,37026-3,XR Femur,36695-5,XR Femur - left AP and Lateral,XR femur AP dan lateral kiri,pasti
R19,GENU D,1,37302-8,XR Knee,37745-7,XR Knee - right AP and Lateral,XR genu AP dan lateral kanan,pasti
R52,GENU S,1,37302-8,XR Knee,36710-2,XR Knee - left AP and Lateral,XR genu AP dan lateral kiri,pasti
R57,HIP JOINT D AP/LATERAL,1,37181-6,XR Hip AP,37725-9,XR Hip - right AP and Lateral,XR hip joint AP dan lateral kanan,pasti
R58,HIP JOINT S AP/LATERAL,1,37181-6,XR Hip AP,36704-5,XR Hip - left AP and Lateral,XR hip joint AP dan lateral kiri,pasti
H01,HISTEROSALPINGOGRAFI (HSG),0,24853-2,RF Uterus and Fallopian tubes HSG,25022-5,RF Uterus and Fallopian tubes Views W contrast IU,RF histerosalfingografi (HSG),pasti
R74,HSG,1,24853-2,RF Uterus and Fallopian tubes HSG,25022-5,RF Uterus and Fallopian tubes Views W contrast IU,RF histerosalfingografi (HSG),pasti
R26,HUMERUS D,1,37220-2,XR Humerus,37062-7,XR Humerus - bilateral Views,XR humerus dua proyeksi kanan atau kiri,perlu-cek
R47,HUMERUS S,1,37220-2,XR Humerus,37062-7,XR Humerus - bilateral Views,XR humerus dua proyeksi kanan atau kiri,perlu-cek
R44,IVP 1,1,24850-8,XR Urinary tract IVP,37607-9,XR Kidney Views W contrast IV,XR urografi (pielografi) dengan kontras IV,pasti
R45,IVP 2,1,24850-8,XR Urinary tract IVP,37607-9,XR Kidney Views W contrast IV,XR urografi (pielografi) dengan kontras IV,pasti
